image name,plantid,width (pixel),width (cm),height (pixel),height (cm),number of lr,total root length (pixel),total root length (cm),pr length (pixel),pr length (cm),lr length (pixel),lr length (cm),tip depth (pixel),tip depth (cm),pr tip depth (pixel),pr tip depth (cm),lr tip depth (pixel),lr tip depth (cm),sdx,sdy,sdx/sdy,convex hull area (pixel),convex hull area (cm2),average angle
../Traces\F-10-15\F-10-15-24-001.traces,1,54,0.17197452229299362,93,0.2961783439490446,1,174.05382386916236,0.5543115409845935,101.698484809835,0.32388052487208596,72.35533905932736,0.23043101611250752,62.5,0.19904458598726116,93.0,0.2961783439490446,32.0,0.10191082802547771,13.757507659407688,25.317436985641493,0.5434004898367124,2396.5,0.024306259888839304,17.73386314216693
../Traces\F-10-15\F-10-15-24-001.traces,2,88,0.2802547770700637,142,0.45222929936305734,1,371.20310216782974,1.1821754846109227,303.46298679765215,0.9664426331135418,67.7401153701776,0.21573285149738092,86.0,0.27388535031847133,142.0,0.45222929936305734,30.0,0.09554140127388536,24.249979795723597,45.08703508450317,0.5378481807524873,8418.5,0.0853837883889813,44.26461521911273
../Traces\F-10-15\F-10-15-24-002.traces,1,63,0.20063694267515925,112,0.35668789808917195,1,169.8822509939086,0.5410262770506643,135.81118318204312,0.4325196916625577,34.071067811865476,0.1085065853881066,66.5,0.21178343949044587,112.0,0.35668789808917195,21.0,0.06687898089171974,16.131766762880215,33.09439408219449,0.4874471103116361,2094.0,0.021238184104831838,31.436995351777966
../Traces\F-10-15\F-10-15-24-002.traces,2,55,0.1751592356687898,245,0.7802547770700637,1,295.6101730552664,0.9414336721505299,250.63961030678928,0.7982153194483735,44.970562748477136,0.1432183527021565,130.0,0.4140127388535032,245.0,0.7802547770700637,15.0,0.04777070063694268,11.481480361151142,76.38690909216231,0.150306911192054,6698.5,0.06793886161710415,11.829988774190804
../Traces\F-10-15\F-10-15-24-002.traces,3,117,0.37261146496815284,155,0.49363057324840764,0,209.9066376115481,0.6684924764698984,209.9066376115481,0.6684924764698984,0.0,0.0,155.0,0.49363057324840764,155.0,0.49363057324840764,,,37.400166032163405,43.98529722177358,0.8502879006044227,2222.5,0.022541482413079638,36.38086509305287
../Traces\F-10-15\F-10-15-24-002.traces,4,7,0.022292993630573247,36,0.11464968152866242,0,39.727922061357845,0.12652204478139442,39.727922061357845,0.12652204478139442,0.0,0.0,36.0,0.11464968152866242,36.0,0.11464968152866242,,,1.7673278620834394,10.677078252031311,0.1655254200040358,130.0,0.0013185119071767617,0.0
../Traces\F-10-15\F-10-15-24-002.traces,5,42,0.1337579617834395,137,0.43630573248407645,0,161.4680374315355,0.5142294185717691,161.4680374315355,0.5142294185717691,0.0,0.0,137.0,0.43630573248407645,137.0,0.43630573248407645,,,9.841310196100004,41.07316806292661,0.23960436119810657,1747.0,0.017718771552598482,17.438329291327253
../Traces\F-10-15\F-10-15-24-002.traces,6,51,0.1624203821656051,192,0.6114649681528662,0,216.19595949289334,0.6885221639901061,216.19595949289334,0.6885221639901061,0.0,0.0,192.0,0.6114649681528662,192.0,0.6114649681528662,,,14.424747278267123,55.9505633422433,0.257812368930632,1858.0,0.018844577873341716,9.22172860644535
../Traces\F-10-15\F-10-15-24-003.traces,1,65,0.2070063694267516,101,0.321656050955414,0,145.12489168102786,0.46218118369754096,145.12489168102786,0.46218118369754096,0.0,0.0,101.0,0.321656050955414,101.0,0.321656050955414,,,19.984393911249846,32.18595569499219,0.620904163935055,1760.5,0.017855693942959147,31.157836270148163
../Traces\F-10-15\F-10-15-24-003.traces,2,42,0.1337579617834395,74,0.2356687898089172,0,93.39696961967,0.2974425784065924,93.39696961967,0.2974425784065924,0.0,0.0,74.0,0.2356687898089172,74.0,0.2356687898089172,,,11.616053704248118,22.161415843021246,0.5241566597788507,305.5,0.00309850298186539,29.346417195311748
../Traces\F-10-15\F-10-15-24-003.traces,3,60,0.1910828025477707,164,0.5222929936305732,0,244.65180361560905,0.77914587138729,244.65180361560905,0.77914587138729,0.0,0.0,164.0,0.5222929936305732,164.0,0.5222929936305732,,,12.388658258031368,49.018457467832356,0.25273455955159835,3063.0,0.0310661690129417,15.229346521847486
../Traces\F-10-15\F-10-15-24-003.traces,4,115,0.3662420382165605,114,0.3630573248407643,0,179.76450198781714,0.57249841397394,179.76450198781714,0.57249841397394,0.0,0.0,114.0,0.3630573248407643,114.0,0.3630573248407643,,,34.996036910867886,33.40583634511195,1.0476024772835426,1482.5,0.015036106941458072,48.025582301604764
../Traces\F-10-15\F-10-15-24-003.traces,5,16,0.050955414012738856,89,0.28343949044585987,0,104.18376618407356,0.33179543370724063,104.18376618407356,0.33179543370724063,0.0,0.0,89.0,0.28343949044585987,89.0,0.28343949044585987,,,5.8424695101784945,26.470806540669205,0.220713694582832,771.5,0.007824861049129783,12.40322354679758
../Traces\F-10-15\F-10-15-24-003.traces,6,71,0.22611464968152867,234,0.7452229299363057,0,269.89444430272835,0.8595364468239757,269.89444430272835,0.8595364468239757,0.0,0.0,234.0,0.7452229299363057,234.0,0.7452229299363057,,,14.703081278396981,68.52856008670356,0.21455406708961022,3847.0,0.039017810053146175,12.366911081557951
../Traces\F-10-15\F-10-15-24-004.traces,1,23,0.0732484076433121,19,0.06050955414012739,0,37.4558441227157,0.11928612777934937,37.4558441227157,0.11928612777934937,0.0,0.0,19.0,0.06050955414012739,19.0,0.06050955414012739,,,6.18783338478977,5.645253455468837,1.0961125897359505,149.5,0.001516288693253276,40.828054207983456
